GeneID	GeneDescription	GeneName	TranscriptID
AAEL003332			AAEL003332-RA
AAEL000751	Na/Ca exchanger [Source:VB Community Annotation]		AAEL000751-RA
AAEL023949			AAEL023949-RA
AAEL011658	plasma glutamate carboxypeptidase [Source:VB Community Annotation]		AAEL011658-RA
AAEL001809			AAEL001809-RC
AAEL001809			AAEL001809-RA
AAEL001809			AAEL001809-RB
AAEL001809			AAEL001809-RD
AAEL023710			AAEL023710-RA
AAEL014142	phosphatidylinositol synthase [Source:VB Community Annotation]		AAEL014142-RA
AAEL014993			AAEL014993-RB
AAEL026597			AAEL026597-RA
AAEL021815			AAEL021815-RA
AAEL007049	proteasome subunit beta type [Source:VB Community Annotation]		AAEL007049-RA
AAEL025374			AAEL025374-RA
AAEL027378			AAEL027378-RA
AAEL013530	cullin [Source:VB Community Annotation]		AAEL013530-RB
AAEL013530	cullin [Source:VB Community Annotation]		AAEL013530-RA
AAEL020035			AAEL020035-RA
AAEL020035			AAEL020035-RB
AAEL020035			AAEL020035-RC
AAEL020035			AAEL020035-RD
AAEL020035			AAEL020035-RE
AAEL022441			AAEL022441-RA
AAEL023406			AAEL023406-RA
AAEL002428			AAEL002428-RB
AAEL002428			AAEL002428-RC
AAEL002428			AAEL002428-RD
AAEL002428			AAEL002428-RE
AAEL014945			AAEL014945-RB
AAEL014945			AAEL014945-RD
AAEL014945			AAEL014945-RC
AAEL023005			AAEL023005-RA
AAEL023005			AAEL023005-RB
AAEL004671	(s)-2-hydroxy-acid oxidase [Source:VB Community Annotation]		AAEL004671-RA
AAEL020615			AAEL020615-RA
AAEL003889	Gram-Negative Binding Protein (GNBP)  or Beta-1 3-Glucan Binding Protein (BGBP). [Source:VB Community Annotation]	GNBPB1	AAEL003889-RA
AAEL024387	Putative serine protease [Source:UniProtKB/TrEMBL;Acc:A0A0P6ITL8]		AAEL024387-RA
AAEL022627			AAEL022627-RA
AAEL010831			AAEL010831-RA
AAEL010831			AAEL010831-RB
AAEL025377			AAEL025377-RA
AAEL022869			AAEL022869-RA
AAEL011052			AAEL011052-RA
AAEL007225	dynein heavy chain [Source:VB Community Annotation]		AAEL007225-RB
AAEL027170			AAEL027170-RA
AAEL006113	cystinosin [Source:VB Community Annotation]		AAEL006113-RF
AAEL006113	cystinosin [Source:VB Community Annotation]		AAEL006113-RE
AAEL006113	cystinosin [Source:VB Community Annotation]		AAEL006113-RI
AAEL006113	cystinosin [Source:VB Community Annotation]		AAEL006113-RH
AAEL006113	cystinosin [Source:VB Community Annotation]		AAEL006113-RB
AAEL006113	cystinosin [Source:VB Community Annotation]		AAEL006113-RC
AAEL006113	cystinosin [Source:VB Community Annotation]		AAEL006113-RJ
AAEL006113	cystinosin [Source:VB Community Annotation]		AAEL006113-RG
AAEL006113	cystinosin [Source:VB Community Annotation]		AAEL006113-RD
AAEL006113	cystinosin [Source:VB Community Annotation]		AAEL006113-RA
AAEL020901			AAEL020901-RA
AAEL011553	trypsin [Source:VB Community Annotation]		AAEL011553-RA
AAEL019608	G-protein coupled receptor [Source:UniProtKB/TrEMBL;Acc:A0A411JKB1]		AAEL019608-RA
AAEL017317			AAEL017317-RB
AAEL002965	osiris 18 [Source:VB Community Annotation]	Osi18	AAEL002965-RA
AAEL006412	sodium- and chloride-dependent neurotransmitter transporter [Source:VB Community Annotation]		AAEL006412-RG
AAEL006412	sodium- and chloride-dependent neurotransmitter transporter [Source:VB Community Annotation]		AAEL006412-RF
AAEL006412	sodium- and chloride-dependent neurotransmitter transporter [Source:VB Community Annotation]		AAEL006412-RD
AAEL006412	sodium- and chloride-dependent neurotransmitter transporter [Source:VB Community Annotation]		AAEL006412-RI
AAEL006412	sodium- and chloride-dependent neurotransmitter transporter [Source:VB Community Annotation]		AAEL006412-RB
AAEL006412	sodium- and chloride-dependent neurotransmitter transporter [Source:VB Community Annotation]		AAEL006412-RA
AAEL006412	sodium- and chloride-dependent neurotransmitter transporter [Source:VB Community Annotation]		AAEL006412-RH
AAEL006412	sodium- and chloride-dependent neurotransmitter transporter [Source:VB Community Annotation]		AAEL006412-RC
AAEL006412	sodium- and chloride-dependent neurotransmitter transporter [Source:VB Community Annotation]		AAEL006412-RE
AAEL024729			AAEL024729-RA
AAEL019875			AAEL019875-RA
AAEL019875			AAEL019875-RB
AAEL019875			AAEL019875-RC
AAEL019875			AAEL019875-RD
AAEL019875			AAEL019875-RE
AAEL019875			AAEL019875-RF
AAEL019875			AAEL019875-RG
AAEL019875			AAEL019875-RH
AAEL019875			AAEL019875-RI
AAEL023526			AAEL023526-RA
AAEL013525	Timp-3, putative [Source:VB Community Annotation]		AAEL013525-RA
AAEL013208			AAEL013208-RA
AAEL010058	gustatory receptor Gr3 [Source:VB Community Annotation]	Gr3	AAEL010058-RA
AAEL005500			AAEL005500-RA
AAEL005500			AAEL005500-RB
AAEL010148	sodium/potassium-dependent ATPase beta-2 subunit [Source:VB Community Annotation]		AAEL010148-RA
AAEL014450	Peptidyl-glycine alpha-amidating monooxygenase [Source:UniProtKB/TrEMBL;Acc:A0A1S4G1Z5]		AAEL014450-RA
AAEL006988	Transcription initiation factor TFIID subunit 6 [Source:UniProtKB/TrEMBL;Acc:A0A1S4FF60]		AAEL006988-RC
AAEL006988	Transcription initiation factor TFIID subunit 6 [Source:UniProtKB/TrEMBL;Acc:A0A1S4FF60]		AAEL006988-RA
AAEL006988	Transcription initiation factor TFIID subunit 6 [Source:UniProtKB/TrEMBL;Acc:A0A1S4FF60]		AAEL006988-RB
AAEL011486			AAEL011486-RA
AAEL002951	forkhead protein/ forkhead protein domain [Source:VB Community Annotation]		AAEL002951-RA
AAEL025129			AAEL025129-RA
AAEL003337			AAEL003337-RA
AAEL005682	protein serine/threonine kinase, putative [Source:VB Community Annotation]		AAEL005682-RA
AAEL010716	preprotein translocase secy subunit (sec61) [Source:VB Community Annotation]		AAEL010716-RA
AAEL005674			AAEL005674-RB
AAEL005674			AAEL005674-RC
AAEL005674			AAEL005674-RD
AAEL005674			AAEL005674-RE
AAEL027623			AAEL027623-RA
AAEL027623			AAEL027623-RB
AAEL028034			AAEL028034-RA
AAEL028034			AAEL028034-RB
AAEL001060			AAEL001060-RC
AAEL001060			AAEL001060-RA
AAEL001060			AAEL001060-RB
AAEL008148	8-oxoguanine DNA glycosylase [Source:VB Community Annotation]		AAEL008148-RA
AAEL008148	8-oxoguanine DNA glycosylase [Source:VB Community Annotation]		AAEL008148-RB
AAEL019526			AAEL019526-RA
AAEL027805			AAEL027805-RA
