Gene stable ID	Transcript stable ID
AGAP001356	AGAP001356-RA
AGAP000466	AGAP000466-RA
AGAP002152	AGAP002152-RA
AGAP002152	AGAP002152-RB
AGAP002971	AGAP002971-RB
AGAP002971	AGAP002971-RA
AGAP002974	AGAP002974-RA
AGAP002972	AGAP002972-RA
AGAP000962	AGAP000962-RA
AGAP000966	AGAP000966-RA
AGAP000138	AGAP000138-RA
AGAP000138	AGAP000138-RB
AGAP000329	AGAP000329-RA
AGAP008588	AGAP008588-RA
AGAP006156	AGAP006156-RA
AGAP004595	AGAP004595-RA
AGAP009514	AGAP009514-RA
AGAP010281	AGAP010281-RA
AGAP009158	AGAP009158-RA
AGAP004923	AGAP004923-RA
AGAP004969	AGAP004969-RA
AGAP005466	AGAP005466-RB
AGAP005466	AGAP005466-RA
AGAP005527	AGAP005527-RA
AGAP006026	AGAP006026-RA
AGAP006027	AGAP006027-RA
AGAP007498	AGAP007498-RA
AGAP001811	AGAP001811-RA
AGAP002797	AGAP002797-RA
AGAP002797	AGAP002797-RB
AGAP002904	AGAP002904-RA
AGAP003531	AGAP003531-RA
AGAP012951	AGAP012951-RA
AGAP004021	AGAP004021-RA
AGAP001478	AGAP001478-RA
AGAP004432	AGAP004432-RA
AGAP012969	AGAP012969-RA
AGAP000803	AGAP000803-RA
AGAP000801	AGAP000801-RA
AGAP000801	AGAP000801-RB
AGAP000256	AGAP000256-RA
AGAP010411	AGAP010411-RA
AGAP012429	AGAP012429-RA
AGAP012447	AGAP012447-RA
AGAP012872	AGAP012872-RA
AGAP007951	AGAP007951-RA
AGAP010272	AGAP010272-RA
AGAP008511	AGAP008511-RA
AGAP008759	AGAP008759-RA
AGAP011968	AGAP011968-RA
AGAP000798	AGAP000798-RA
AGAP013363	AGAP013363-RA
AGAP013285	AGAP013285-RA
AGAP009014	AGAP009014-RA
AGAP006028	AGAP006028-RA
AGAP006028	AGAP006028-RB
AGAP006028	AGAP006028-RC
AGAP007707	AGAP007707-RA
AGAP001913	AGAP001913-RA
AGAP001990	AGAP001990-RA
AGAP001434	AGAP001434-RB
AGAP001434	AGAP001434-RA
AGAP001434	AGAP001434-RC
AGAP000039	AGAP000039-RA
AGAP000038	AGAP000038-RA
AGAP012975	AGAP012975-RA
AGAP010694	AGAP010694-RA
AGAP011349	AGAP011349-RA
AGAP009493	AGAP009493-RA
AGAP010057	AGAP010057-RA
AGAP010059	AGAP010059-RA
AGAP012581	AGAP012581-RA
AGAP028032	AGAP028032-RA
AGAP010169	AGAP010169-RB
AGAP010169	AGAP010169-RA
AGAP005599	AGAP005599-RB
AGAP005599	AGAP005599-RA
AGAP005599	AGAP005599-RC
AGAP005599	AGAP005599-RE
AGAP005599	AGAP005599-RG
AGAP005599	AGAP005599-RI
AGAP005599	AGAP005599-RK
AGAP010205	AGAP010205-RA
AGAP010580	AGAP010580-RA
AGAP004707	AGAP004707-RA
AGAP004707	AGAP004707-RB
AGAP004707	AGAP004707-RC
AGAP007086	AGAP007086-RA
