Gene_stable_ID	Gene_description	Gene_name
AAEL003332	""	""
AAEL000751	Na/Ca exchanger [Source:VB Community Annotation]	""
AAEL023949	""	""
AAEL011658	plasma glutamate carboxypeptidase [Source:VB Community Annotation]	""
AAEL001809	""	""
AAEL023710	""	""
AAEL014142	phosphatidylinositol synthase [Source:VB Community Annotation]	""
AAEL014993	""	""
AAEL026597	""	""
AAEL021815	""	""
AAEL007049	proteasome subunit beta type [Source:VB Community Annotation]	""
AAEL025374	""	""
AAEL027378	""	""
AAEL013530	cullin [Source:VB Community Annotation]	""
AAEL020035	""	""
AAEL022441	""	""
AAEL023406	""	""
AAEL002428	""	""
AAEL014945	""	""
AAEL023005	""	""
AAEL004671	(s)-2-hydroxy-acid oxidase [Source:VB Community Annotation]	""
AAEL020615	""	""
AAEL003889	Gram-Negative Binding Protein (GNBP)  or Beta-1 3-Glucan Binding Protein (BGBP). [Source:VB Community Annotation]	GNBPB1
AAEL024387	Putative serine protease [Source:UniProtKB/TrEMBL;Acc:A0A0P6ITL8]	""
AAEL022627	""	""
AAEL010831	""	""
AAEL025377	""	""
AAEL022869	""	""
AAEL011052	""	""
AAEL007225	dynein heavy chain [Source:VB Community Annotation]	""
AAEL027170	""	""
AAEL006113	cystinosin [Source:VB Community Annotation]	""
AAEL020901	""	""
AAEL011553	trypsin [Source:VB Community Annotation]	""
AAEL019608	G-protein coupled receptor [Source:UniProtKB/TrEMBL;Acc:A0A411JKB1]	""
AAEL017317	""	""
AAEL002965	osiris 18 [Source:VB Community Annotation]	Osi18
AAEL006412	sodium- and chloride-dependent neurotransmitter transporter [Source:VB Community Annotation]	""
AAEL024729	""	""
AAEL019875	""	""
AAEL023526	""	""
AAEL013525	Timp-3, putative [Source:VB Community Annotation]	""
AAEL013208	""	""
AAEL010058	gustatory receptor Gr3 [Source:VB Community Annotation]	Gr3
AAEL005500	""	""
AAEL010148	sodium/potassium-dependent ATPase beta-2 subunit [Source:VB Community Annotation]	""
AAEL014450	Peptidyl-glycine alpha-amidating monooxygenase [Source:UniProtKB/TrEMBL;Acc:A0A1S4G1Z5]	""
