GeneID	TranscriptID	GeneDescription	GeneName
AFUN000003	AFUN000003-RA	39S ribosomal protein L17, mitochondrial [Source:UniProtKB/TrEMBL;Acc:A0A182R1G4]	mRpL17
AFUN000006	AFUN000006-RA	unspecified product	
AFUN000007	AFUN000007-RA	mitogen-activated protein kinase kinase [Source:Projected from Anopheles gambiae (AGAP001867) VB Community Annotation]	
AFUN000008	AFUN000008-RA	solute carrier family 7 (L-type amino acid transporter), member [Source:Projected from Anopheles gambiae (AGAP001870) VB Community Annotation]	
AFUN000009	AFUN000009-RA	Ro ribonucleoprotein autoantigen [Source:Projected from Anopheles gambiae (AGAP001871) VB Community Annotation]	
AFUN000011	AFUN000011-RA	Ras-related protein Rap-1A [Source:Projected from Anopheles gambiae (AGAP001874) VB Community Annotation]	
AFUN000012	AFUN000012-RA	unspecified product	
AFUN000013	AFUN000013-RA	peptide alpha-N-acetyltransferase [Source:Projected from Anopheles gambiae (AGAP001878) VB Community Annotation]	
AFUN000014	AFUN000014-RA	pre-mRNA-splicing factor CLF1 [Source:Projected from Anopheles gambiae (AGAP001879) VB Community Annotation]	
AFUN000015	AFUN000015-RA	bZIP factor, other [Source:Projected from Anopheles gambiae (AGAP001880) VB Community Annotation]	
AFUN000018	AFUN000018-RA	unspecified product	
AFUN000019	AFUN000019-RA	ELAV (embryonic lethal, abnormal vision Drosophila)-like [Source:Projected from Anopheles gambiae (AGAP001883) VB Community Annotation]	
AFUN000019	AFUN000019-RB	ELAV (embryonic lethal, abnormal vision Drosophila)-like [Source:Projected from Anopheles gambiae (AGAP001883) VB Community Annotation]	
AFUN000020	AFUN000020-RA	fumarate hydratase, class II [Source:Projected from Anopheles gambiae (AGAP001884) VB Community Annotation]	
AFUN000020	AFUN000020-RB	fumarate hydratase, class II [Source:Projected from Anopheles gambiae (AGAP001884) VB Community Annotation]	
AFUN000021	AFUN000021-RA	WD repeat-containing protein [Source:Projected from Anopheles gambiae (AGAP001885) VB Community Annotation]	
AFUN000022	AFUN000022-RA	WH2 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182R1I3]	
AFUN000027	AFUN000027-RA	unspecified product	
AFUN000028	AFUN000028-RA	centromere protein J [Source:Projected from Anopheles gambiae (AGAP001897) VB Community Annotation]	
AFUN000029	AFUN000029-RA	39S ribosomal protein L44, mitochondrial	mRpL44
AFUN000030	AFUN000030-RA	fatty acid synthase, animal type [Source:Projected from Anopheles gambiae (AGAP001899) VB Community Annotation]	
AFUN000031	AFUN000031-RA	de-etiolated-1 [Source:Projected from Anopheles gambiae (AGAP001900) VB Community Annotation]	
AFUN000032	AFUN000032-RA	DNA helicase MCM9 [Source:Projected from Anopheles gambiae (AGAP001901) VB Community Annotation]	
AFUN000033	AFUN000033-RA	GTP-binding protein Rheb [Source:UniProtKB/TrEMBL;Acc:A0A182R1J4]	Rheb
AFUN000035	AFUN000035-RA	PH domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182R1J7]	
AFUN000036	AFUN000036-RA	glyceronephosphate O-acyltransferase [Source:Projected from Anopheles gambiae (AGAP001908) VB Community Annotation]	
AFUN000037	AFUN000037-RA	unspecified product	
AFUN000038	AFUN000038-RA	40S ribosomal protein S3 [Source:UniProtKB/TrEMBL;Acc:A0A182R1K0]	RpS3
AFUN000039	AFUN000039-RA	60S ribosomal protein L6 [Source:UniProtKB/TrEMBL;Acc:A0A182R1K1]	RpL6
AFUN000040	AFUN000040-RA	Odorant receptor [Source:UniProtKB/TrEMBL;Acc:A0A182R1K2]	Or8
AFUN000041	AFUN000041-RA	histamine-gated chloride channel [Source:Projected from Anopheles gambiae (AGAP001913) VB Community Annotation]	
AFUN000042	AFUN000042-RA	cell division cycle protein [Source:Projected from Anopheles gambiae (AGAP001914) VB Community Annotation]	
AFUN000043	AFUN000043-RA	gustatory receptor	Gr24
AFUN000044	AFUN000044-RA	unspecified product	
AFUN000046	AFUN000046-RA	protein disulfide-isomerase A6 [Source:Projected from Anopheles gambiae (AGAP001919) VB Community Annotation]	
AFUN000047	AFUN000047-RA	solute carrier family 38 (sodium-coupled neutral amino acid transporter) [Source:Projected from Anopheles gambiae (AGAP001923) VB Community Annotation]	
AFUN000048	AFUN000048-RA	unspecified product	
AFUN000052	AFUN000052-RA	myosin III [Source:Projected from Anopheles gambiae (AGAP009730) VB Community Annotation]	
AFUN000053	AFUN000053-RA	cardioacceleratory peptide [Source:Projected from Anopheles gambiae (AGAP009729) VB Community Annotation]	
AFUN000054	AFUN000054-RA	ficolin [Source:Projected from Anopheles gambiae (AGAP009728) VB Community Annotation]	
AFUN000055	AFUN000055-RA	RhoGAP92B [Source:Projected from Anopheles gambiae (AGAP009727) VB Community Annotation]	
AFUN000056	AFUN000056-RA	unspecified product	
AFUN000057	AFUN000057-RA	Class B Scavenger Receptor (CD36 domain). [Source:Projected from Anopheles gambiae (AGAP010132) VB Community Annotation]	
AFUN000058	AFUN000058-RA	ornithine decarboxylase antizyme [Source:Projected from Anopheles gambiae (AGAP010131) VB Community Annotation]	
AFUN000058	AFUN000058-RB	ornithine decarboxylase antizyme [Source:Projected from Anopheles gambiae (AGAP010131) VB Community Annotation]	
AFUN000060	AFUN000060-RA	Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182R1M2]	
AFUN000061	AFUN000061-RA	unspecified product	
AFUN000062	AFUN000062-RA	unspecified product	
AFUN000070	AFUN000070-RA	nonmuscle myosin heavy chain-A [Source:Projected from Anopheles gambiae (AGAP010094) VB Community Annotation]	
AFUN000071	AFUN000071-RA	Glycosyltransferase family 92 protein [Source:UniProtKB/TrEMBL;Acc:A0A182R1N3]	
AFUN000077	AFUN000077-RA	short wavelength sensitive opsin [Source:Projected from Anopheles gambiae (AGAP010089) VB Community Annotation]	
AFUN000078	AFUN000078-RA	ubiquitin carboxyl-terminal hydrolase 9/24 [Source:Projected from Anopheles gambiae (AGAP010088) VB Community Annotation]	
AFUN000079	AFUN000079-RA	MADF domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182R1P1]	
AFUN000080	AFUN000080-RA	phosphatidylinositol-binding clathrin assembly protein [Source:Projected from Anopheles gambiae (AGAP010087) VB Community Annotation]	
AFUN000081	AFUN000081-RA	arginyl-tRNA synthetase [Source:Projected from Anopheles gambiae (AGAP010086) VB Community Annotation]	
AFUN000082	AFUN000082-RA	JAKSTAT pathway signalling Domeless [Source:Projected from Anopheles gambiae (AGAP029053) UniProtKB/TrEMBL;Acc:A0A1Y9IHQ6]	
AFUN000083	AFUN000083-RA	unspecified product	
AFUN000085	AFUN000085-RA	Polypeptide N-acetylgalactosaminyltransferase [Source:Projected from Anopheles gambiae (AGAP029599) UniProtKB/TrEMBL;Acc:A0A453Z0V7]	
AFUN000085	AFUN000085-RB	Polypeptide N-acetylgalactosaminyltransferase [Source:Projected from Anopheles gambiae (AGAP029599) UniProtKB/TrEMBL;Acc:A0A453Z0V7]	
AFUN000087	AFUN000087-RA	Homer homolog [Source:Projected from Anopheles gambiae (AGAP010076) VB Community Annotation]	
AFUN000088	AFUN000088-RA	U4/U6.U5 tri-snRNP-associated protein [Source:Projected from Anopheles gambiae (AGAP010075) VB Community Annotation]	
AFUN000089	AFUN000089-RA	peroxin [Source:Projected from Anopheles gambiae (AGAP010074) VB Community Annotation]	
AFUN000090	AFUN000090-RA	type II pantothenate kinase [Source:Projected from Anopheles gambiae (AGAP010073) VB Community Annotation]	
AFUN000091	AFUN000091-RA	Iron--sulfur cluster insertion protein erpA [Source:Projected from Anopheles gambiae (AGAP010072) VB Community Annotation]	
AFUN000092	AFUN000092-RA	acyl-CoA synthetase [Source:Projected from Anopheles gambiae (AGAP010071) VB Community Annotation]	
AFUN000093	AFUN000093-RA	Aldo_ket_red domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182R1Q4]	
AFUN000095	AFUN000095-RA	DNA-directed RNA polymerases I, II, and III subunit RPABC1 [Source:Projected from Anopheles gambiae (AGAP010064) VB Community Annotation]	
AFUN000096	AFUN000096-RA	unspecified product	
AFUN000097	AFUN000097-RA	zinc finger, SWIM-type containing [Source:Projected from Anopheles gambiae (AGAP010062) VB Community Annotation]	
AFUN000098	AFUN000098-RA	RIC1 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182R1Q9]	
AFUN000099	AFUN000099-RA	DNA repair protein Rad62 [Source:Projected from Anopheles gambiae (AGAP010060) VB Community Annotation]	
AFUN000100	AFUN000100-RA	Neur_chan_LBD domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182R1R1]	
AFUN000101	AFUN000101-RA	Neur_chan_LBD domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182R1R2]	
AFUN000102	AFUN000102-RA	neuronal PAS domain protein [Source:Projected from Anopheles gambiae (AGAP010058) VB Community Annotation]	
AFUN000103	AFUN000103-RA	nicotinic acetylcholine receptor, beta-2 subunit [Source:Projected from Anopheles gambiae (AGAP010057) VB Community Annotation]	
AFUN000104	AFUN000104-RA	hexosaminidase [Source:Projected from Anopheles gambiae (AGAP010056) VB Community Annotation]	
AFUN000105	AFUN000105-RA	Codanin-1_C domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182R1R6]	
AFUN000106	AFUN000106-RA	unspecified product	
AFUN000107	AFUN000107-RA	G_PROTEIN_RECEP_F1_2 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182R1R8]	
AFUN000108	AFUN000108-RA	Peptidase M12B domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182R1R9]	
AFUN000109	AFUN000109-RA	Carbonic anhydrase [Source:UniProtKB/TrEMBL;Acc:A0A182R1S0]	
AFUN000109	AFUN000109-RB	Carbonic anhydrase [Source:UniProtKB/TrEMBL;Acc:A0A182R1S0]	
AFUN000110	AFUN000110-RA	unspecified product	
AFUN000111	AFUN000111-RA	unspecified product	
AFUN000114	AFUN000114-RA	MFS_1_like domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182R1S5]	
AFUN000117	AFUN000117-RA	unspecified product	
AFUN000118	AFUN000118-RA	Kazal-like domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182R1S9]	
AFUN000119	AFUN000119-RA	solute carrier organic anion transporter family member [Source:Projected from Anopheles gambiae (AGAP010042) VB Community Annotation]	
AFUN000120	AFUN000120-RA	F-box and WD-40 domain protein [Source:Projected from Anopheles gambiae (AGAP010041) VB Community Annotation]	
AFUN000121	AFUN000121-RA	unspecified product	
AFUN000122	AFUN000122-RA	unspecified product	
AFUN000125	AFUN000125-RA	TORC1 growth control complex subunit Kog1 [Source:Projected from Anopheles gambiae (AGAP010035) VB Community Annotation]	
AFUN000126	AFUN000126-RA	mediator of RNA polymerase II transcription subunit 6	Med6
AFUN000127	AFUN000127-RA	unspecified product	
AFUN000130	AFUN000130-RA	BZIP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182R1U1]	
AFUN000133	AFUN000133-RA	unspecified product	
AFUN000134	AFUN000134-RA	unspecified product	
AFUN000136	AFUN000136-RA	Rab GDP dissociation inhibitor beta [Source:Projected from Anopheles gambiae (AGAP010025) VB Community Annotation]	
AFUN000139	AFUN000139-RA	unspecified product	
AFUN000139	AFUN000139-RB	unspecified product	
AFUN000140	AFUN000140-RA	unspecified product	
AFUN000148	AFUN000148-RA	Guanylate cyclase [Source:UniProtKB/TrEMBL;Acc:A0A182R1V9]	
AFUN000149	AFUN000149-RA	kinetochore-associated protein [Source:Projected from Anopheles gambiae (AGAP012160) VB Community Annotation]	
AFUN000150	AFUN000150-RA	unspecified product	
AFUN000151	AFUN000151-RA	unspecified product	
AFUN000153	AFUN000153-RA	unspecified product	
AFUN000154	AFUN000154-RA	F-box domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182R1W5]	
AFUN000157	AFUN000157-RA	phosphatidylserine synthase [Source:Projected from Anopheles gambiae (AGAP012146) VB Community Annotation]	
AFUN000159	AFUN000159-RA	unspecified product	
AFUN000160	AFUN000160-RA	mTERF domain-containing protein, mitochondrial [Source:Projected from Anopheles gambiae (AGAP012143) VB Community Annotation]	
AFUN000163	AFUN000163-RA	Eukaryotic translation initiation factor 3 subunit B [Source:UniProtKB/TrEMBL;Acc:A0A182R1X4]	
AFUN000164	AFUN000164-RA	USP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182R1X5]	
AFUN000165	AFUN000165-RA	60S ribosomal protein L21	RpL21
AFUN000166	AFUN000166-RA	RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182R1X7]	
AFUN000167	AFUN000167-RA	28S ribosomal protein S25, mitochondrial	mRpS25
AFUN000168	AFUN000168-RA	26S proteasome 26S non-ATPase subunit N8 [Source:Projected from Anopheles gambiae (AGAP012135) VB Community Annotation]	
AFUN000169	AFUN000169-RA	HIV-1 Vpr-binding protein [Source:Projected from Anopheles gambiae (AGAP012134) VB Community Annotation]	
AFUN000173	AFUN000173-RA	unspecified product	
AFUN000174	AFUN000174-RA	unspecified product	
AFUN000176	AFUN000176-RA	Chitin-binding type-2 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182R1Y7]	
AFUN000177	AFUN000177-RA	Chitin-binding type-2 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182R1Y8]	
AFUN000178	AFUN000178-RA	unspecified product	
AFUN000179	AFUN000179-RA	allatotropin [Source:Projected from Anopheles gambiae (AGAP012130) VB Community Annotation]	
AFUN000180	AFUN000180-RA	dimethyladenosine transferase 1, mitochondrial [Source:Projected from Anopheles gambiae (AGAP012129) VB Community Annotation]	
AFUN000181	AFUN000181-RA	unspecified product	
AFUN000183	AFUN000183-RA	unspecified product	
AFUN000186	AFUN000186-RA	thioredoxin domain-containing protein [Source:Projected from Anopheles gambiae (AGAP000044) VB Community Annotation]	
AFUN000188	AFUN000188-RA	histone-lysine N-methyltransferase [Source:Projected from Anopheles gambiae (AGAP000042) VB Community Annotation]	
AFUN000189	AFUN000189-RA	SET domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182R200]	
AFUN000190	AFUN000190-RA	MFS domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182R201]	
AFUN000191	AFUN000191-RA	gamma-aminobutyric acid receptor subunit alpha [Source:Projected from Anopheles gambiae (AGAP000039) VB Community Annotation]	
AFUN000192	AFUN000192-RA	gamma-aminobutyric acid receptor subunit beta [Source:Projected from Anopheles gambiae (AGAP000038) VB Community Annotation]	
AFUN000193	AFUN000193-RA	unspecified product	
AFUN000194	AFUN000194-RA	unspecified product	
AFUN000195	AFUN000195-RA	Protein retinal degeneration B [Source:Projected from Anopheles gambiae (AGAP000033) VB Community Annotation]	
AFUN000197	AFUN000197-RA	Integrin_alpha2 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182R208]	
AFUN000197	AFUN000197-RB	Integrin_alpha2 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182R208]	
AFUN000200	AFUN000200-RA	calcium/calmodulin-dependent protein kinase (CaM kinase) II [Source:Projected from Anopheles gambiae (AGAP000028) VB Community Annotation]	
AFUN000200	AFUN000200-RB	calcium/calmodulin-dependent protein kinase (CaM kinase) II [Source:Projected from Anopheles gambiae (AGAP000028) VB Community Annotation]	
AFUN000200	AFUN000200-RC	calcium/calmodulin-dependent protein kinase (CaM kinase) II [Source:Projected from Anopheles gambiae (AGAP000028) VB Community Annotation]	
AFUN000201	AFUN000201-RA	unspecified product	
AFUN000202	AFUN000202-RA	unspecified product	
AFUN000203	AFUN000203-RA	unspecified product	
AFUN000204	AFUN000204-RA	amino acid transporter protein [Source:Projected from Anopheles gambiae (AGAP000022) VB Community Annotation]	
AFUN000205	AFUN000205-RA	unspecified product	
AFUN000206	AFUN000206-RA	chaoptin [Source:Projected from Anopheles gambiae (AGAP000019) VB Community Annotation]	
AFUN000207	AFUN000207-RA	F-box domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182R218]	
AFUN000208	AFUN000208-RA	phosphatidylinositol-4,5-bisphosphate 3-kinase [Source:Projected from Anopheles gambiae (AGAP000018) VB Community Annotation]	
AFUN000209	AFUN000209-RA	unspecified product	
AFUN000210	AFUN000210-RA	Class B Scavenger Receptor (CD36 domain). [Source:Projected from Anopheles gambiae (AGAP000016) VB Community Annotation]	
AFUN000211	AFUN000211-RA	proto-oncogene tyrosine-protein kinase ROS [Source:Projected from Anopheles gambiae (AGAP000015) VB Community Annotation]	
AFUN000213	AFUN000213-RA	unspecified product	
AFUN000215	AFUN000215-RA	Tyrosine--tRNA ligase [Source:UniProtKB/TrEMBL;Acc:A0A182R226]	
AFUN000216	AFUN000216-RA	vacuolar protein sorting [Source:Projected from Anopheles gambiae (AGAP000625) VB Community Annotation]	
AFUN000217	AFUN000217-RA	Vesicle-associated membrane protein-associated protein B [Source:Projected from Anopheles gambiae (AGAP000626) VB Community Annotation]	
AFUN000219	AFUN000219-RA	cardiolipin synthase [Source:Projected from Anopheles gambiae (AGAP000843) VB Community Annotation]	
AFUN000220	AFUN000220-RA	unspecified product	
AFUN000225	AFUN000225-RA	unspecified product	
AFUN000228	AFUN000228-RA	syntaxin [Source:Projected from Anopheles gambiae (AGAP000850) VB Community Annotation]	
